owner_id,owner_first_name,owner_last_name,owner_age,owner_gender,owner_email,owner_phone,owner_address,dog_id,dog_name,dog_breed,dog_age,dog_gender,order_id,order_date,product_id,quantity,subtotal,product_name,product_price,product_description,transaction_id,veterinarian_id,veterinarian_first_name,veterinarian_last_name,veterinarian_gender,veterinarian_age,veterinarian_contact,appointment_id,appointment_date,appointment_purpose,veterinarian_specialization_id,specialty_name,fees
fdf8d7f1-cc0f-4c26-a17d-4d39aa08f538,Vincent,Hardy,60,Male,vincent.hardy@gmail.com,+33 6 34 86 67 96,"276, avenue Allard
51470 Jourdan-la-Forêt",c5dc8978-7d89-42bd-a1f1-fa089751ecc7,Bella,Shiba Inu,49,Female,72ee666e-7c62-48c2-b13e-5f12cc02eb57,2024-01-03,29,10,109.9,Dog Dental Spray,10.99,Oral hygiene dental spray for dogs,72ee666e-7c62-48c2-b13e-5f12cc02eb57_20211127131611,684da78a-685d-4e95-afe1-55ed980435c7,Constance,Couturier,Female,80,+33 4 83 25 67 77,66c16f6e-eb0d-41c1-a5b8-f54b07cd02bd,2024-05-29,Treat uncommon or complicated diseases related to the heart,8,Internal Medicine (Cardiology),1000
fdf8d7f1-cc0f-4c26-a17d-4d39aa08f538,Vincent,Hardy,60,Male,vincent.hardy@gmail.com,+33 6 34 86 67 96,"276, avenue Allard
51470 Jourdan-la-Forêt",c5dc8978-7d89-42bd-a1f1-fa089751ecc7,Bella,Shiba Inu,49,Female,72ee666e-7c62-48c2-b13e-5f12cc02eb57,2024-01-03,33,9,35.91,Dog Training Clicker,3.99,Training clicker for positive reinforcement,72ee666e-7c62-48c2-b13e-5f12cc02eb57_20210914063651,684da78a-685d-4e95-afe1-55ed980435c7,Constance,Couturier,Female,80,+33 4 83 25 67 77,66c16f6e-eb0d-41c1-a5b8-f54b07cd02bd,2024-05-29,Treat uncommon or complicated diseases related to the heart,8,Internal Medicine (Cardiology),1000
98d8fd9f-5fc9-4cb7-af99-ce6ded6205ac,Hugues,Bailly,18,Male,hugues.bailly@outlook.com,07 33 65 92 83,"70, chemin Diane Gros
67100 Sainte Chantal-les-Bains",6031ff66-1ccf-45fb-abc4-a1c8b0893fda,Oscar,Chihuahua,29,Male,4ced0b59-38eb-4f54-b672-38cf05590766,2023-11-17,2,7,69.93,Dog Toy,9.99,Interactive dog toy,4ced0b59-38eb-4f54-b672-38cf05590766_20210204083016,97789f9f-e32d-4bf7-8b48-5d3a361596d5,Yves,Brunet,Male,52,+33 (0)3 29 29 39 80,f4f6f798-c6d2-47fe-81c2-ff3b771d1343,2024-06-13,Manage pain and complications during surgery,1,Anesthesia and Analgesia,500
98d8fd9f-5fc9-4cb7-af99-ce6ded6205ac,Hugues,Bailly,18,Male,hugues.bailly@outlook.com,07 33 65 92 83,"70, chemin Diane Gros
67100 Sainte Chantal-les-Bains",6031ff66-1ccf-45fb-abc4-a1c8b0893fda,Oscar,Chihuahua,29,Male,4ced0b59-38eb-4f54-b672-38cf05590766,2023-11-17,27,8,111.92,Dog Paw Balm,13.99,Moisturizing paw balm for dogs,4ced0b59-38eb-4f54-b672-38cf05590766_20210324225418,97789f9f-e32d-4bf7-8b48-5d3a361596d5,Yves,Brunet,Male,52,+33 (0)3 29 29 39 80,f4f6f798-c6d2-47fe-81c2-ff3b771d1343,2024-06-13,Manage pain and complications during surgery,1,Anesthesia and Analgesia,500
972a2e5c-ef21-4f64-bcfa-9a226c6154c8,Véronique,Ferreira,51,Female,véronique.ferreira@outlook.com,0532750266,"3, rue Delannoy
09309 Royer",aa10a0c7-4404-4e72-b66d-b8621292a3a0,Athena,Rottweiler,96,Female,eac03197-7efc-4f55-9aad-b6a7cadf5fe3,2023-12-22,28,5,84.95,Dog Puzzle Toy,16.99,Brain-stimulating puzzle toy for dogs,eac03197-7efc-4f55-9aad-b6a7cadf5fe3_20230220064502,fc7e7e24-c614-40ea-a35b-a2dc942f94cd,Jean,Vasseur,Male,46,+33 (0)5 19 72 78 73,111457fe-48f0-4eff-b0e3-000013510a18,2024-06-02,"Research bacteria, parasites, and microorganisms causing diseases",10,Microbiology,720
972a2e5c-ef21-4f64-bcfa-9a226c6154c8,Véronique,Ferreira,51,Female,véronique.ferreira@outlook.com,0532750266,"3, rue Delannoy
09309 Royer",aa10a0c7-4404-4e72-b66d-b8621292a3a0,Athena,Rottweiler,96,Female,eac03197-7efc-4f55-9aad-b6a7cadf5fe3,2023-12-22,23,10,99.9,Dog Nail Clippers,9.99,Safe and easy-to-use nail clippers for dogs,eac03197-7efc-4f55-9aad-b6a7cadf5fe3_20230516053502,fc7e7e24-c614-40ea-a35b-a2dc942f94cd,Jean,Vasseur,Male,46,+33 (0)5 19 72 78 73,111457fe-48f0-4eff-b0e3-000013510a18,2024-06-02,"Research bacteria, parasites, and microorganisms causing diseases",10,Microbiology,720
37b2cf41-8ac6-4d34-a46d-43fd6a8815af,Benjamin,Breton,80,Male,benjamin.breton@gmail.com,+33 6 98 20 80 99,"90, rue Boulanger
28518 Faivre",1b09d442-4f01-4028-843b-be33a302dd53,Izzy,Shih Tzu,82,Female,cdd69326-bbef-4b2a-95a7-9cffcd10c606,2024-02-10,17,9,224.91,Dog Raincoat,24.99,Water-resistant dog raincoat,cdd69326-bbef-4b2a-95a7-9cffcd10c606_20230112102355,c55285fb-e2c4-4990-870a-7a2aafb6d41e,André,Payet,Male,84,+33 (0)1 70 71 46 20,fa1eb1ca-2935-4613-8e2c-353ccba7160c,2024-06-04,"Qualified to clean, adjust, and extract teeth in animals",5,Dentistry,800
37b2cf41-8ac6-4d34-a46d-43fd6a8815af,Benjamin,Breton,80,Male,benjamin.breton@gmail.com,+33 6 98 20 80 99,"90, rue Boulanger
28518 Faivre",1b09d442-4f01-4028-843b-be33a302dd53,Izzy,Shih Tzu,82,Female,cdd69326-bbef-4b2a-95a7-9cffcd10c606,2024-02-10,22,2,22.98,Interactive Fetch Ball,11.49,Interactive ball for fetch games,cdd69326-bbef-4b2a-95a7-9cffcd10c606_20230723072459,c55285fb-e2c4-4990-870a-7a2aafb6d41e,André,Payet,Male,84,+33 (0)1 70 71 46 20,fa1eb1ca-2935-4613-8e2c-353ccba7160c,2024-06-04,"Qualified to clean, adjust, and extract teeth in animals",5,Dentistry,800
37b2cf41-8ac6-4d34-a46d-43fd6a8815af,Benjamin,Breton,80,Male,benjamin.breton@gmail.com,+33 6 98 20 80 99,"90, rue Boulanger
28518 Faivre",1b09d442-4f01-4028-843b-be33a302dd53,Izzy,Shih Tzu,82,Female,cdd69326-bbef-4b2a-95a7-9cffcd10c606,2024-02-10,24,10,299.9,Dog Harness with Leash,29.99,Adjustable harness with matching leash,cdd69326-bbef-4b2a-95a7-9cffcd10c606_20200830124405,c55285fb-e2c4-4990-870a-7a2aafb6d41e,André,Payet,Male,84,+33 (0)1 70 71 46 20,fa1eb1ca-2935-4613-8e2c-353ccba7160c,2024-06-04,"Qualified to clean, adjust, and extract teeth in animals",5,Dentistry,800
37b2cf41-8ac6-4d34-a46d-43fd6a8815af,Benjamin,Breton,80,Male,benjamin.breton@gmail.com,+33 6 98 20 80 99,"90, rue Boulanger
28518 Faivre",1b09d442-4f01-4028-843b-be33a302dd53,Izzy,Shih Tzu,82,Female,cdd69326-bbef-4b2a-95a7-9cffcd10c606,2024-02-10,25,4,79.96,Dog Backpack,19.99,Backpack for dogs to carry essentials on walks,cdd69326-bbef-4b2a-95a7-9cffcd10c606_20210420004450,c55285fb-e2c4-4990-870a-7a2aafb6d41e,André,Payet,Male,84,+33 (0)1 70 71 46 20,fa1eb1ca-2935-4613-8e2c-353ccba7160c,2024-06-04,"Qualified to clean, adjust, and extract teeth in animals",5,Dentistry,800
